slice,signed_contrast,n,p_right_mouse,p_right_model,model,condition
all,-1.0,356,0.0898876404494382,0.11510992534013904,standard,history_only
all,-0.25,348,0.13505747126436782,0.14155750918796223,standard,history_only
all,-0.125,406,0.2019704433497537,0.23200838932230738,standard,history_only
all,-0.0625,335,0.31044776119402984,0.3367402432618468,standard,history_only
all,0.0,713,0.41374474053295934,0.4564109379941595,standard,history_only
all,0.0625,377,0.5755968169761273,0.6148079702981429,standard,history_only
all,0.125,386,0.7150259067357513,0.7189829281055962,standard,history_only
all,0.25,337,0.8367952522255193,0.8377950216950268,standard,history_only
all,1.0,361,0.9335180055401662,0.9385831292197521,standard,history_only
block_0.2,-1.0,60,0.25,0.20328013508114964,standard,history_only
block_0.2,-0.25,55,0.23636363636363636,0.2123421447351575,standard,history_only
block_0.2,-0.125,70,0.44285714285714284,0.45614535524509847,standard,history_only
block_0.2,-0.0625,66,0.5757575757575758,0.5487627542866959,standard,history_only
block_0.2,0.0,323,0.5263157894736842,0.5967590350199249,standard,history_only
block_0.2,0.0625,261,0.6168582375478927,0.6394502957801109,standard,history_only
block_0.2,0.125,279,0.7598566308243727,0.7466207227526119,standard,history_only
block_0.2,0.25,243,0.8765432098765432,0.8703353234447937,standard,history_only
block_0.2,1.0,262,0.9541984732824428,0.9471965069057889,standard,history_only
block_0.5,-1.0,47,0.02127659574468085,0.1126448354446032,standard,history_only
block_0.5,-0.25,22,0.22727272727272727,0.296075774864717,standard,history_only
block_0.5,-0.125,41,0.2926829268292683,0.3267956248984286,standard,history_only
block_0.5,-0.0625,30,0.4666666666666667,0.5131156129452089,standard,history_only
block_0.5,0.0,70,0.5285714285714286,0.5952506156239127,standard,history_only
block_0.5,0.0625,44,0.5681818181818182,0.6598191265207292,standard,history_only
block_0.5,0.125,37,0.7567567567567568,0.7805088283745824,standard,history_only
block_0.5,0.25,29,0.8620689655172413,0.9057449647064867,standard,history_only
block_0.5,1.0,29,1.0,0.9741936141046984,standard,history_only
block_0.8,-1.0,249,0.0642570281124498,0.09432938976033804,standard,history_only
block_0.8,-0.25,271,0.1070110701107011,0.11464770549798309,standard,history_only
block_0.8,-0.125,295,0.13220338983050847,0.16564952737920113,standard,history_only
block_0.8,-0.0625,239,0.2175732217573222,0.2560509260311318,standard,history_only
block_0.8,-0.0,320,0.275,0.2843758980772691,standard,history_only
block_0.8,0.0625,72,0.4305555555555556,0.4979727227344281,standard,history_only
block_0.8,0.125,70,0.5142857142857142,0.5763057421560266,standard,history_only
block_0.8,0.25,65,0.676923076923077,0.6858282267330931,standard,history_only
block_0.8,1.0,70,0.8285714285714286,0.8915915718568223,standard,history_only
all,-1.0,356,0.0898876404494382,0.12350781398218418,pc,history_only
all,-0.25,348,0.13505747126436782,0.15804326686414022,pc,history_only
all,-0.125,406,0.2019704433497537,0.20793166328645932,pc,history_only
all,-0.0625,335,0.31044776119402984,0.3191443334556004,pc,history_only
all,0.0,713,0.41374474053295934,0.42544144289378666,pc,history_only
all,0.0625,377,0.5755968169761273,0.5984725792563721,pc,history_only
all,0.125,386,0.7150259067357513,0.6757475188293933,pc,history_only
all,0.25,337,0.8367952522255193,0.7850247919725293,pc,history_only
all,1.0,361,0.9335180055401662,0.8912503989955147,pc,history_only
block_0.2,-1.0,60,0.25,0.2378626356017776,pc,history_only
block_0.2,-0.25,55,0.23636363636363636,0.2651621274142103,pc,history_only
block_0.2,-0.125,70,0.44285714285714284,0.41420609441452794,pc,history_only
block_0.2,-0.0625,66,0.5757575757575758,0.5253965373708387,pc,history_only
block_0.2,0.0,323,0.5263157894736842,0.5557259870275002,pc,history_only
block_0.2,0.0625,261,0.6168582375478927,0.6235389234730082,pc,history_only
block_0.2,0.125,279,0.7598566308243727,0.7013721816178318,pc,history_only
block_0.2,0.25,243,0.8765432098765432,0.821526969687193,pc,history_only
block_0.2,1.0,262,0.9541984732824428,0.9041290095801117,pc,history_only
block_0.5,-1.0,47,0.02127659574468085,0.1039518684921588,pc,history_only
block_0.5,-0.25,22,0.22727272727272727,0.26411196660377423,pc,history_only
block_0.5,-0.125,41,0.2926829268292683,0.27634216576996373,pc,history_only
block_0.5,-0.0625,30,0.4666666666666667,0.45379900657571853,pc,history_only
block_0.5,0.0,70,0.5285714285714286,0.56835963741344,pc,history_only
block_0.5,0.0625,44,0.5681818181818182,0.6424917961386117,pc,history_only
block_0.5,0.125,37,0.7567567567567568,0.7704349671414977,pc,history_only
block_0.5,0.25,29,0.8620689655172413,0.8681734954488689,pc,history_only
block_0.5,1.0,29,1.0,0.9082022987563034,pc,history_only
block_0.8,-1.0,249,0.0642570281124498,0.0996437181623271,pc,history_only
block_0.8,-0.25,271,0.1070110701107011,0.127692533563307,pc,history_only
block_0.8,-0.125,295,0.13220338983050847,0.14947728775836275,pc,history_only
block_0.8,-0.0625,239,0.2175732217573222,0.24528539767313484,pc,history_only
block_0.8,-0.0,320,0.275,0.26267212610764545,pc,history_only
block_0.8,0.0625,72,0.4305555555555556,0.4807064489319196,pc,history_only
block_0.8,0.125,70,0.5142857142857142,0.5235658544647906,pc,history_only
