rel_trial,n,p_align_mouse,p_align_model,prior_q_mean
-10,62,0.7580645161290323,0.725086531000993,0.45853059041884636
-9,63,0.7142857142857143,0.6700234083155732,0.44331444728942143
-8,63,0.7619047619047619,0.7477937871294599,0.472292975773887
-7,61,0.8032786885245902,0.7362483929514457,0.4637987706504884
-6,59,0.7966101694915254,0.7716475795891325,0.4573736781791105
-5,63,0.7777777777777778,0.7076642847036027,0.45585273087970796
-4,61,0.6721311475409836,0.6578770617450602,0.4699105791381148
-3,62,0.6612903225806451,0.6435795978552872,0.48882890660916606
-2,62,0.6774193548387096,0.6089130672701304,0.46253758044012133
-1,63,0.7142857142857143,0.6810220014377837,0.4684204284160856
0,63,0.4444444444444444,0.46746679128605934,0.4484291053007519
1,62,0.5967741935483871,0.6344563606675835,0.4592286208944936
2,63,0.5555555555555556,0.6182935069581228,0.44750198911106776
3,62,0.532258064516129,0.5894546532410107,0.44436731886479164
4,62,0.5967741935483871,0.6017603639310466,0.47129858357291066
5,63,0.6507936507936508,0.6670421542422402,0.46378081658529857
6,63,0.6190476190476191,0.6395710006297107,0.4731007743449438
7,60,0.6166666666666667,0.6390954890870489,0.46307693322499593
8,62,0.6290322580645161,0.6892476103178435,0.4548576262689406
9,63,0.6984126984126984,0.6467497765552253,0.47295149593126207
10,60,0.6833333333333333,0.6987522342591547,0.47646236767371497
11,63,0.6984126984126984,0.676845526703382,0.4474268924622309
12,62,0.6612903225806451,0.696676978503444,0.4622488872658822
13,63,0.6666666666666666,0.6524099173238649,0.4444924711234986
14,63,0.6507936507936508,0.6529603483827991,0.4474781794207437
15,62,0.7096774193548387,0.6903469671360066,0.46094838313518033
16,63,0.7142857142857143,0.6851772526279092,0.4471970304610237
17,62,0.6774193548387096,0.6993638301914137,0.45360105220348607
18,61,0.7213114754098361,0.6931059654328788,0.4570343870608533
19,61,0.7377049180327869,0.7218842941496644,0.4443447335821683
20,63,0.7142857142857143,0.6852853405252395,0.455066003023632
21,62,0.7419354838709677,0.7250022526695242,0.446010515574486
22,61,0.7540983606557377,0.7315662651528895,0.45246773176505917
23,63,0.6825396825396826,0.6269666195610568,0.4618377841654278
24,62,0.6935483870967742,0.7189970441620737,0.45533141830275137
25,62,0.7580645161290323,0.7134178279403357,0.47236529473335515
26,62,0.7258064516129032,0.7235432152876691,0.4654432035261585
27,63,0.7936507936507936,0.6993930832046779,0.45381107879063437
28,60,0.8,0.740326069718382,0.46076565434535344
29,61,0.7377049180327869,0.7509814838336811,0.45874709135196245
30,62,0.7741935483870968,0.7042989305167969,0.4704671877045785
