rel_trial,n,p_align_mouse,p_align_model,prior_q_mean
-10,62,0.7580645161290323,0.7213741422240292,0.43332880446987765
-9,63,0.7142857142857143,0.6734109586548238,0.43460521433088517
-8,63,0.7619047619047619,0.776151163673531,0.4308151352027106
-7,61,0.8032786885245902,0.7413390860892832,0.43054013564938404
-6,59,0.7966101694915254,0.7723009241744876,0.432904927912405
-5,63,0.7777777777777778,0.7383446073869154,0.4349576234817505
-4,61,0.6721311475409836,0.6458100631802541,0.42703256646140675
-3,62,0.6612903225806451,0.6443553414991906,0.4274134775323252
-2,62,0.6774193548387096,0.6010965672396724,0.4295293669546804
-1,63,0.7142857142857143,0.7050652342759782,0.430497165710207
0,63,0.4444444444444444,0.512560034207704,0.4300250780014765
1,62,0.5967741935483871,0.6452228400946385,0.4364455481690745
2,63,0.5555555555555556,0.5976858847582388,0.436355616838213
3,62,0.532258064516129,0.6157972030191412,0.43819192580638394
4,62,0.5967741935483871,0.5831347263282946,0.43269680440425873
5,63,0.6507936507936508,0.7052656557292692,0.43210974524891566
6,63,0.6190476190476191,0.6619881037437904,0.43215405515262056
7,60,0.6166666666666667,0.5970207867600644,0.43073837210734683
8,62,0.6290322580645161,0.6917226074278475,0.4353617146130531
9,63,0.6984126984126984,0.6700789253227413,0.4316387280585274
10,60,0.6833333333333333,0.6791166803411518,0.4249921719233195
11,63,0.6984126984126984,0.6846476754410162,0.43245574831962585
12,62,0.6612903225806451,0.6858629794310658,0.43052893252142016
13,63,0.6666666666666666,0.6570655606679677,0.43397975204482914
14,63,0.6507936507936508,0.664870963040148,0.43413107310022625
15,62,0.7096774193548387,0.6874824914810879,0.4317869092187574
16,63,0.7142857142857143,0.6971021654409548,0.43540644692996194
17,62,0.6774193548387096,0.7102025111220898,0.4351638791061217
18,61,0.7213114754098361,0.7055687409840891,0.4364334242265733
19,61,0.7377049180327869,0.7113885692183356,0.4354127616178794
20,63,0.7142857142857143,0.6938373679960412,0.4361410954641917
21,62,0.7419354838709677,0.7347725522779529,0.43637463498500084
22,61,0.7540983606557377,0.7343586632623108,0.432098602662321
23,63,0.6825396825396826,0.6218105860882335,0.42963024595427135
24,62,0.6935483870967742,0.7043566224540794,0.4337655070327943
25,62,0.7580645161290323,0.7124192724004388,0.4338373051535699
26,62,0.7258064516129032,0.7158900768451032,0.4318497647200861
27,63,0.7936507936507936,0.7252527070009992,0.43227230272595846
28,60,0.8,0.7352208007359877,0.4335307881236076
29,61,0.7377049180327869,0.7648866655320296,0.43667286829870255
30,62,0.7741935483870968,0.6948133206460625,0.4312751144170761
