region,n_sessions,auroc_mean,auroc_sem,accuracy_mean,units_mean
SPF,1,0.7463866989429432,0.0,0.6794594594594595,67.0
IRN,7,0.7100399566772059,0.01833667660085994,0.6592838967845477,225.57142857142858
MOs,5,0.7070744938504131,0.03452814737468089,0.6629683598546677,123.2
MRN,13,0.6922705772067794,0.02023720422177994,0.6414389600417689,148.30769230769232
FOTU,1,0.6750689735796118,0.0,0.6378960968312253,138.0
NPC,3,0.6735331805855784,0.03769902197052101,0.6403928531392196,43.0
SNr,3,0.6640919529111148,0.07185115912044879,0.6263452301250699,51.666666666666664
GRN,2,0.650290258568931,0.03372754878636989,0.6243031229798544,92.0
VISp,8,0.6336262988021948,0.024145464433062317,0.6033798652730508,194.375
VII,1,0.6229103284690352,0.0,0.5990196078431373,317.0
CL,1,0.5472506459601184,0.0,0.5992800114057599,6.0
