region,model,ve_linear_recal,corr,n_sessions
ACAd,bayes,0.016097292786541102,0.12589653851562882,4
ACAd,gru,0.034428498046310374,0.17767192545342864,4
ACAd,tanh_bptt,0.033420893149257155,0.1695847971024669,4
ACAd,tanh_pc,0.013948213829075575,0.11431721596057787,4
MOp,bayes,0.0556210188148013,0.20615193529800815,3
MOp,gru,0.12860234363836368,0.2987872031461248,3
MOp,tanh_bptt,0.1180762579820381,0.28115097217489876,3
MOp,tanh_pc,0.0436019254299094,0.17598774741375897,3
MOs,bayes,0.10619458734716583,0.2973411730599744,8
MOs,gru,0.20531355564570639,0.4109481778263298,8
MOs,tanh_bptt,0.19742098522294818,0.4024150297018803,8
MOs,tanh_pc,0.04989998120302761,0.1920379660104973,8
vlOFC_orbvl,bayes,0.10262940328470413,0.2518224824792413,5
vlOFC_orbvl,gru,0.19746444829653503,0.3498217510538032,5
vlOFC_orbvl,tanh_bptt,0.1867829625578078,0.33983800041626566,5
vlOFC_orbvl,tanh_pc,0.04129128533380574,0.17510289484399247,5
