region,model,ve_linear_recal,ve_std,corr,n_sessions,n_trials
ACAd,gru,0.03442849804631043,0.02250304346438425,0.1776719254534287,4,2381.0
ACAd,gru_pc,0.019558025189610445,0.012820227066861565,0.1321843119249751,4,2381.0
ACAd,tanh_bptt,0.033420893149257225,0.02907559754972892,0.16958479710246693,4,2381.0
ACAd,tanh_pc,0.011685273323676415,0.0016898538937117004,0.107885560489747,4,2381.0
MOp,gru,0.12860234363836373,0.17668733678070248,0.2987872031461249,3,1631.0
MOp,gru_pc,0.04567420430789052,0.04846226246214514,0.19173965771484727,3,1631.0
MOp,tanh_bptt,0.11807625798203818,0.16526596375372887,0.2811509721748988,3,1631.0
MOp,tanh_pc,0.03506909448760235,0.041084055754572586,0.16269257931116307,3,1631.0
MOs,gru,0.2053135556457064,0.15555435909506418,0.41094817782632986,8,5093.0
MOs,gru_pc,0.08850633247786882,0.062998827083958,0.27343803067384986,8,5093.0
MOs,tanh_bptt,0.1974209852229482,0.15189292255985554,0.4024150297018803,8,5093.0
MOs,tanh_pc,0.07293957409980617,0.04944627208726493,0.2500813098600423,8,5093.0
vlOFC_orbvl,gru,0.19746444829653506,0.19847086787359336,0.3498217510538032,5,3462.0
vlOFC_orbvl,gru_pc,0.08136471621125936,0.0894120997478767,0.21724648838963767,5,3462.0
vlOFC_orbvl,tanh_bptt,0.18678296255780785,0.19253003293316337,0.33983800041626566,5,3462.0
vlOFC_orbvl,tanh_pc,0.07247369936838484,0.07717337371962747,0.20205252172495758,5,3462.0
