region,offset,balanced_accuracy,sem,n_sessions,n_switches
MOs,-10,0.6309240362811792,0.061405319330310716,7,87
MOs,-9,0.6099773242630385,0.06555541822304962,7,87
MOs,-8,0.5389739229024942,0.07482314458866483,7,87
MOs,-7,0.5770691609977324,0.07843643877966353,7,87
MOs,-6,0.5393707482993196,0.09723165778921518,7,87
MOs,-5,0.5128117913832201,0.054234161721927625,7,87
MOs,-4,0.49515306122448977,0.04737736723013723,7,87
MOs,-3,0.5684240362811791,0.08103463823686284,7,87
MOs,-2,0.518140589569161,0.06960816298893024,7,87
MOs,-1,0.615391156462585,0.03830542654311985,7,87
MOs,0,0.3863662131519274,0.05944364424522647,7,87
MOs,1,0.5706349206349206,0.08131543263765764,7,87
MOs,2,0.5361961451247165,0.03666476858383099,7,87
MOs,3,0.6345521541950113,0.04607840083595646,7,87
MOs,4,0.5760204081632653,0.02993142061510298,7,87
MOs,5,0.489625850340136,0.05571108479551951,7,87
MOs,6,0.6143990929705215,0.04429949945602262,7,87
MOs,7,0.5871315192743763,0.0944912494352204,7,87
MOs,8,0.5222222222222223,0.06840978026797068,7,87
MOs,9,0.6133786848072562,0.07447767032731786,7,87
MOs,10,0.6347222222222222,0.05220086581329659,7,87
MOs,11,0.6156179138321995,0.05107761208447096,7,87
MOs,12,0.5623866213151928,0.09424713447211643,7,87
MOs,13,0.6662698412698412,0.04207754744971448,7,87
MOs,14,0.6547902494331065,0.035461674304794404,7,87
MOs,15,0.6647108843537415,0.0464812928414674,7,87
MOs,16,0.6395975056689343,0.08146090699190704,7,87
MOs,17,0.7092687074829931,0.04677517845506436,7,87
MOs,18,0.6734977324263037,0.04918501843673005,7,87
MOs,19,0.7018424036281179,0.03922895765099059,7,87
MOs,20,0.6386054421768707,0.05456393905554836,7,87
ORBvl,-10,0.6830357142857143,0.022097086912079608,2,29
ORBvl,-9,0.7008928571428572,0.110485434560398,2,29
ORBvl,-8,0.6651785714285714,0.13573924817420333,2,29
ORBvl,-7,0.625,0.012626906806902588,2,29
ORBvl,-6,0.6517857142857143,0.056821080631061886,2,29
ORBvl,-5,0.6205357142857143,0.08523162094659278,2,29
ORBvl,-4,0.5491071428571428,0.034723993718982236,2,29
ORBvl,-3,0.65625,0.04103744712243353,2,29
ORBvl,-2,0.6919642857142858,0.11679888796384938,2,29
ORBvl,-1,0.5848214285714286,0.00947018010517698,2,29
ORBvl,0,0.375,0.037880720420707906,2,29
ORBvl,1,0.6607142857142858,0.037880720420707885,2,29
ORBvl,2,0.6205357142857143,0.08523162094659278,2,29
ORBvl,3,0.5848214285714286,0.04103744712243353,2,29
ORBvl,4,0.6160714285714286,0.01894036021035392,2,29
ORBvl,5,0.5535714285714286,0.06313453403451313,2,29
ORBvl,6,0.6607142857142857,0.08838834764831843,2,29
ORBvl,7,0.71875,0.05366435392933624,2,29
ORBvl,8,0.5535714285714286,0.012626906806902628,2,29
ORBvl,9,0.5535714285714286,0.012626906806902628,2,29
ORBvl,10,0.3794642857142857,0.06629126073623882,2,29
ORBvl,11,0.71875,0.05366435392933624,2,29
ORBvl,12,0.6651785714285714,0.034723993718982195,2,29
ORBvl,13,0.71875,0.003156726701725647,2,29
ORBvl,14,0.5535714285714286,0.06313453403451313,2,29
ORBvl,15,0.4866071428571428,0.11048543456039803,2,29
ORBvl,16,0.6160714285714286,0.03156726701725659,2,29
ORBvl,17,0.5178571428571428,0.012626906806902628,2,29
ORBvl,18,0.7276785714285714,0.04103744712243353,2,29
ORBvl,19,0.7321428571428572,0.08838834764831839,2,29
ORBvl,20,0.8303571428571428,0.03156726701725659,2,29
ACAd,-10,0.5322916666666666,0.042705157402238916,4,54
ACAd,-9,0.6948412698412699,0.0769378338147679,4,54
ACAd,-8,0.5126984126984127,0.028409760866146952,4,54
ACAd,-7,0.6660714285714286,0.048797726506927534,4,54
ACAd,-6,0.5930059523809523,0.01500598514144248,4,54
ACAd,-5,0.5685515873015873,0.06636977053133232,4,54
ACAd,-4,0.6412698412698412,0.06102859818083949,4,54
ACAd,-3,0.6109126984126984,0.06544033108952439,4,54
ACAd,-2,0.5126488095238095,0.10664761846788914,4,54
ACAd,-1,0.6124503968253967,0.02173879995304538,4,54
ACAd,0,0.39107142857142857,0.062363087000094894,4,54
ACAd,1,0.5230654761904762,0.05099169556835643,4,54
ACAd,2,0.4784722222222222,0.047205624125458555,4,54
ACAd,3,0.47361111111111115,0.10006508298769023,4,54
ACAd,4,0.5817956349206349,0.047937323784760205,4,54
ACAd,5,0.48075396825396827,0.03222404869129509,4,54
ACAd,6,0.5584821428571429,0.047357155108302434,4,54
ACAd,7,0.6499503968253968,0.029616740473179515,4,54
ACAd,8,0.5418154761904762,0.03755804688723258,4,54
ACAd,9,0.6223214285714286,0.06279038973282819,4,54
ACAd,10,0.5089781746031745,0.06456974532008093,4,54
ACAd,11,0.4843253968253968,0.09580698765340633,4,54
ACAd,12,0.6655753968253968,0.01941778977657491,4,54
